month,group,old,new,delta,pct
2022-01,non_criminal,1091,1091,0,0.0
2022-01,other_criminal,2969,2969,0,0.0
2022-01,property,2534,2534,0,0.0
2022-01,violent,360,360,0,0.0
2022-02,non_criminal,1106,1106,0,0.0
2022-02,other_criminal,3015,3015,0,0.0
2022-02,property,2334,2334,0,0.0
2022-02,violent,394,394,0,0.0
2022-03,non_criminal,1234,1234,0,0.0
2022-03,other_criminal,3477,3477,0,0.0
2022-03,property,2337,2337,0,0.0
2022-03,violent,393,393,0,0.0
2022-04,non_criminal,1194,1194,0,0.0
2022-04,other_criminal,3364,3364,0,0.0
2022-04,property,2402,2402,0,0.0
2022-04,violent,403,403,0,0.0
2022-05,non_criminal,1313,1313,0,0.0
2022-05,other_criminal,3479,3479,0,0.0
2022-05,property,2785,2785,0,0.0
2022-05,violent,459,459,0,0.0
2022-06,non_criminal,1196,1196,0,0.0
2022-06,other_criminal,3168,3168,0,0.0
2022-06,property,2884,2884,0,0.0
2022-06,violent,460,460,0,0.0
2022-07,non_criminal,1193,1193,0,0.0
2022-07,other_criminal,3124,3124,0,0.0
2022-07,property,2914,2914,0,0.0
2022-07,violent,456,456,0,0.0
2022-08,non_criminal,1293,1293,0,0.0
2022-08,other_criminal,3162,3162,0,0.0
2022-08,property,3066,3066,0,0.0
2022-08,violent,426,426,0,0.0
2022-09,non_criminal,1275,1275,0,0.0
2022-09,other_criminal,3133,3133,0,0.0
2022-09,property,2788,2788,0,0.0
2022-09,violent,348,348,0,0.0
2022-10,non_criminal,1369,1369,0,0.0
2022-10,other_criminal,3189,3189,0,0.0
2022-10,property,2816,2816,0,0.0
2022-10,violent,380,380,0,0.0
2022-11,non_criminal,1235,1235,0,0.0
2022-11,other_criminal,2878,2878,0,0.0
2022-11,property,2701,2701,0,0.0
2022-11,violent,321,321,0,0.0
2022-12,non_criminal,1235,1235,0,0.0
2022-12,other_criminal,2854,2854,0,0.0
2022-12,property,2726,2726,0,0.0
2022-12,violent,325,325,0,0.0
2023-01,non_criminal,1348,1348,0,0.0
2023-01,other_criminal,3171,3171,0,0.0
2023-01,property,3016,3016,0,0.0
2023-01,violent,346,346,0,0.0
2023-02,non_criminal,1245,1245,0,0.0
2023-02,other_criminal,2926,2926,0,0.0
2023-02,property,2426,2426,0,0.0
2023-02,violent,341,341,0,0.0
2023-03,non_criminal,1260,1260,0,0.0
2023-03,other_criminal,3302,3302,0,0.0
2023-03,property,2716,2716,0,0.0
2023-03,violent,351,351,0,0.0
2023-04,non_criminal,1282,1282,0,0.0
2023-04,other_criminal,3036,3036,0,0.0
2023-04,property,3042,3042,0,0.0
2023-04,violent,355,355,0,0.0
2023-05,non_criminal,1332,1332,0,0.0
2023-05,other_criminal,3486,3486,0,0.0
2023-05,property,3323,3323,0,0.0
2023-05,violent,374,374,0,0.0
2023-06,non_criminal,1238,1238,0,0.0
2023-06,other_criminal,3175,3175,0,0.0
2023-06,property,3381,3381,0,0.0
2023-06,violent,389,389,0,0.0
2023-07,non_criminal,1249,1249,0,0.0
2023-07,other_criminal,3357,3357,0,0.0
2023-07,property,3304,3304,0,0.0
2023-07,violent,447,447,0,0.0
2023-08,non_criminal,1188,1188,0,0.0
2023-08,other_criminal,3278,3278,0,0.0
2023-08,property,3440,3440,0,0.0
2023-08,violent,379,379,0,0.0
2023-09,non_criminal,1199,1199,0,0.0
2023-09,other_criminal,3282,3282,0,0.0
2023-09,property,3031,3031,0,0.0
2023-09,violent,430,430,0,0.0
2023-10,non_criminal,1270,1270,0,0.0
2023-10,other_criminal,3372,3372,0,0.0
