raw,canonical,method,score,rows
CHARLOTTE,CHARLOTTE,exact,100.0,432271
MATTHEWS,MATTHEWS,exact,100.0,179
PINEVILLE,PINEVILLE,exact,100.0,152
HUNTERSVILLE,HUNTERSVILLE,exact,100.0,82
MINT HILL,MINT HILL,exact,100.0,45
CHARLOTE,CHARLOTTE,fuzzy,94.1,26
CHARLOTTE - NC,CHARLOTTE,exact,100.0,13
CORNELIUS,CORNELIUS,exact,100.0,11
"CHARLOTTE, NC",CHARLOTTE,exact,100.0,10
MIDLAND,,unresolved,0.0,7
MECKLENBURG,MECKLENBURG COUNTY (UNINCORPORATED),exact,100.0,7
MATHEWS,MATTHEWS,fuzzy,93.3,5
CHARLOTTTE,CHARLOTTE,fuzzy,94.7,5
"CHARLOTTE, NC  28273",CHARLOTTE,exact,100.0,5
CHAROLETTE,CHARLOTTE,fuzzy,84.2,4
DAVIDSON,DAVIDSON,exact,100.0,4
OTHER/NOT LISTED,,unresolved,0.0,3
CHARLOTTLE,CHARLOTTE,fuzzy,94.7,3
CAHRLOTTE,CHARLOTTE,fuzzy,88.9,2
CHAROLOTTE,CHARLOTTE,fuzzy,94.7,2
"CHARLOTTE,",CHARLOTTE,exact,100.0,2
CHARLOTET,CHARLOTTE,fuzzy,88.9,2
CHARLTOTE,CHARLOTTE,fuzzy,88.9,2
CHAROLTTE,CHARLOTTE,fuzzy,88.9,2
CHARLOTTE 28262,CHARLOTTE,exact,100.0,1
107,,unresolved,0.0,1
CHARLOTTEJAVASCRIPT:VOID PT_SU,CHARLOTTE,prefix,80.0,1
"CHARLOTTE, NORTH CAROLINA, UNITED STATES",CHARLOTTE,exact,100.0,1
"CHARLOTTE, NORTH CAROLINA",CHARLOTTE,exact,100.0,1
CHARLOTTEQ,CHARLOTTE,prefix,80.0,1
CARLOTTE,CHARLOTTE,fuzzy,94.1,1
"CHARLOTTE, NC 28204",CHARLOTTE,exact,100.0,1
J,,unresolved,0.0,1
28262,CHARLOTTE,zip,70.0,1
CHARLLOTE,CHARLOTTE,fuzzy,88.9,1
CHARLOTTE L,CHARLOTTE,prefix,80.0,1
28215,CHARLOTTE,zip,70.0,1
CHARLOTTE-,CHARLOTTE,exact,100.0,1
FAYETTEVILLE,,unresolved,0.0,1
CHARLOTTE 28211,CHARLOTTE,exact,100.0,1
"CHARLOTTE, NC 28211",CHARLOTTE,exact,100.0,1
CHARLOTEE,CHARLOTTE,fuzzy,88.9,1
CHARLOTTE NC,CHARLOTTE,exact,100.0,1
CHRLOTTE,CHARLOTTE,fuzzy,94.1,1
"CHARLOTTE, NC 28273-9616",CHARLOTTE,exact,100.0,1
CHRALOTTE,CHARLOTTE,fuzzy,88.9,1
CHARLOTTE6090,CHARLOTTE,exact,100.0,1
OCHARLOTTE,CHARLOTTE,fuzzy,94.7,1
RT SIDE,,unresolved,0.0,1
CHARLOOTE,CHARLOTTE,fuzzy,88.9,1
CHARLLOTTE,CHARLOTTE,fuzzy,94.7,1
CHARLOTTM,CHARLOTTE,fuzzy,88.9,1
CHARLOTTE/NC/,CHARLOTTE,exact,100.0,1
110,,unresolved,0.0,1
CONCORD,,unresolved,0.0,1
CHARKOTTE,CHARLOTTE,fuzzy,88.9,1
CHARLOTTE 28269,CHARLOTTE,exact,100.0,1
PINVILLE,PINEVILLE,fuzzy,94.1,1
MATTEWS,MATTHEWS,fuzzy,93.3,1
28226,CHARLOTTE,zip,70.0,1
"CHARLOTTE, NC 28202",CHARLOTTE,exact,100.0,1
CHARLOTTE/NC,CHARLOTTE,exact,100.0,1
CHARLOTTEN,CHARLOTTE,prefix,80.0,1
C HARLOTTE,CHARLOTTE,fuzzy,94.7,1
CHARLOTTE NC 28273,CHARLOTTE,exact,100.0,1
CHA2RLOTTE,CHARLOTTE,fuzzy,94.7,1
CHARLOTTE`,CHARLOTTE,exact,100.0,1
28217,CHARLOTTE,zip,70.0,1
