month,property,violent,settled
2023-01,2871,334,True
2023-02,2332,333,True
2023-03,2609,346,True
2023-04,2932,344,True
2023-05,3171,366,True
2023-06,3255,382,True
2023-07,3203,441,True
2023-08,3318,374,True
2023-09,2929,421,True
2023-10,3248,383,True
2023-11,3084,359,True
2023-12,3263,410,True
2024-01,3022,346,True
2024-02,2719,327,True
2024-03,2655,345,True
2024-04,2807,362,True
2024-05,3111,419,True
2024-06,3050,437,True
2024-07,3063,455,True
2024-08,2958,375,True
2024-09,3046,371,True
2024-10,3066,359,True
2024-11,2838,357,True
2024-12,2902,351,True
2025-01,2794,297,True
2025-02,2498,267,True
2025-03,2853,302,True
2025-04,2681,296,True
2025-05,2852,351,True
2025-06,2914,328,True
2025-07,2973,392,True
2025-08,2902,355,True
2025-09,3049,311,True
2025-10,2926,355,True
2025-11,2609,305,True
2025-12,2665,258,True
2026-01,2531,261,True
2026-02,1979,244,True
2026-03,2299,284,True
2026-04,2435,279,True
2026-05,2527,303,True
2026-06,2598,321,True
2026-07,2477,301,True
2026-08,2479,298,False
