month,count,per_day,trailing_median_per_day,robust_z,flag
2023-01,7881,254.2,246.7,0.65,False
2023-02,6938,247.8,249.0,-0.14,False
2023-03,7629,246.1,249.0,-0.32,False
2023-04,7715,257.2,249.0,1.25,False
2023-05,8515,274.7,250.8,3.14,False
2023-06,8183,272.8,250.8,2.89,False
2023-07,8357,269.6,250.8,2.47,False
2023-08,8285,267.3,252.8,1.65,False
2023-09,7942,264.7,252.8,0.76,False
2023-10,8438,272.2,255.7,1.05,False
2023-11,7653,255.1,261.0,-0.34,False
2023-12,7989,257.7,261.0,-0.22,False
2024-01,7878,254.1,261.2,-0.62,False
2024-02,7292,251.4,261.2,-0.85,False
2024-03,7400,238.7,261.2,-1.97,False
2024-04,7584,252.8,261.2,-0.74,False
2024-05,7985,257.6,261.2,-0.29,False
2024-06,7885,262.8,257.6,0.53,False
2024-07,7856,253.4,257.6,-0.5,False
2024-08,7703,248.5,256.3,-1.26,False
2024-09,7957,265.2,254.6,2.29,False
2024-10,8020,258.7,254.6,0.88,False
2024-11,7282,242.7,254.6,-2.56,False
2024-12,7380,238.1,253.8,-2.39,False
2025-01,7463,240.7,253.1,-1.63,False
2025-02,6929,247.5,252.1,-0.39,False
2025-03,7761,250.4,250.6,-0.02,False
2025-04,7448,248.3,251.6,-0.34,False
2025-05,7869,253.8,249.4,0.4,False
2025-06,7765,258.8,249.4,1.14,False
2025-07,8053,259.8,249.4,1.26,False
2025-08,7907,255.1,249.4,0.5,False
2025-09,7830,261.0,252.1,0.9,False
2025-10,7948,256.4,252.1,0.43,False
2025-11,7140,238.0,252.1,-1.67,False
2025-12,7149,230.6,252.1,-2.55,False
2026-01,6966,224.7,252.1,-3.25,False
2026-02,6217,222.0,252.1,-3.57,True
2026-03,7416,239.2,252.1,-1.2,False
2026-04,7373,245.8,251.1,-0.38,False
2026-05,7690,248.1,249.8,-0.11,False
2026-06,7676,255.9,246.9,0.56,False
2026-07,7871,253.9,246.9,0.51,False
